,Date,AirportName,PercentOfBaseline,Centroid.Latitute,Centroid.Longitude,City,State,ISO_3166_2,Country
1,2020/7/5,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
2,2020/5/28,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
3,2020/5/7,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
4,2020/6/24,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
5,2020/8/5,Kingsford Smith,20,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
6,2020/10/16,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
7,2020/6/1,Kingsford Smith,55,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
8,2020/6/18,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
9,2020/9/15,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
10,2020/8/10,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
11,2020/8/30,Kingsford Smith,10,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
12,2020/8/4,Kingsford Smith,20,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
13,2020/4/17,Kingsford Smith,69,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
14,2020/4/23,Kingsford Smith,61,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
15,2020/6/22,Kingsford Smith,50,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
16,2020/4/19,Kingsford Smith,49,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
17,2020/10/14,Kingsford Smith,23,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
18,2020/8/12,Kingsford Smith,19,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
19,2020/7/13,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
20,2020/4/2,Kingsford Smith,77,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
21,2020/4/24,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
22,2020/5/12,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
23,2020/5/5,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
24,2020/3/25,Kingsford Smith,84,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
25,2020/9/14,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
26,2020/10/11,Kingsford Smith,25,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
27,2020/6/17,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
28,2020/6/23,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
29,2020/9/16,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
30,2020/8/28,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
31,2020/7/27,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
32,2020/8/16,Kingsford Smith,13,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
33,2020/9/18,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
34,2020/4/6,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
35,2020/8/1,Kingsford Smith,25,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
36,2020/4/16,Kingsford Smith,60,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
37,2020/5/21,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
38,2020/6/25,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
39,2020/6/29,Kingsford Smith,57,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
40,2020/7/12,Kingsford Smith,54,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
41,2020/3/24,Kingsford Smith,89,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
42,2020/6/26,Kingsford Smith,53,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
43,2020/6/28,Kingsford Smith,48,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
44,2020/6/11,Kingsford Smith,64,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
45,2020/7/17,Kingsford Smith,51,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
46,2020/9/27,Kingsford Smith,12,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
47,2020/5/3,Kingsford Smith,50,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
48,2020/7/3,Kingsford Smith,46,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
49,2020/8/14,Kingsford Smith,26,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
50,2020/9/29,Kingsford Smith,21,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
51,2020/3/26,Kingsford Smith,76,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
52,2020/5/31,Kingsford Smith,51,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
53,2020/3/16,Kingsford Smith,92,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
54,2020/6/15,Kingsford Smith,52,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
55,2020/3/18,Kingsford Smith,97,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
56,2020/9/20,Kingsford Smith,16,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
